,제목,장르,작가,연재 시작일,마지막 연재일,회수,조회수,추천수,글자수,선작수,판타지,현대판타지,무협,로맨스판타지
208, 아케인펑크의 공간술사,판타지,다원.,2023-10-23,2024-05-11,203,1244675,38635,1150647,6500,True,False,False,False
209, 웰컴 투 NBA,현대판타지,필리포스,2023-05-10,2024-06-20,323,2951508,95988,2162472,9577,False,True,False,False
210, 회귀자의 기업국가 재벌기,현대판타지,E급작가,2023-01-22,2023-09-23,252,2142129,47607,1516090,7279,False,True,False,False
211, 개뿔도 없는 무림환생,무협,키나아빠,2022-09-15,2023-10-24,383,2899884,77607,2117515,10900,False,False,True,False
212, 악덕 군주 연산!,판타지,흑곰작가,2022-08-21,2023-01-31,251,2594677,59963,1287453,8067,True,False,False,False
213, 멸망이 예정된 세상에서 산다,판타지,더블킥,2022-05-20,2023-01-26,193,2547024,79053,1034457,12051,True,False,False,False
214, 대한제국이 이미 너무 강함,판타지,어겐어겐,2022-09-21,2023-08-22,304,2226458,46493,1895431,8075,True,False,False,False
215, 나는 EX급 헌터다,현대판타지,Neuf,2018-02-17,2023-06-14,303,3767450,91273,1593723,11687,False,True,False,False
216, 미국 재벌3세는 천재였다,현대판타지,글라탕,2023-12-04,2024-06-12,285,2307609,74064,1841712,10709,False,True,False,False
217, 파브르 in 사천당가,무협,에르훗,2023-09-13,2024-06-20,267,3377620,111707,1652400,21706,False,False,True,False
218, 복수하다가 발레 천재,현대판타지,달리카,2022-05-11,2023-06-07,302,1699065,76704,2018261,7010,False,True,False,False
219, 운명을 보는 회사원,현대판타지,영완(映完),2019-09-28,2023-06-26,317,11537954,356609,1849727,25749,False,True,False,False
220, 재벌을 넘어 귀족으로,현대판타지,푸달,2019-05-01,2019-11-09,201,5023942,110334,1495345,16100,False,True,False,False
221, 흥겜의 딜러,현대판타지,행운요정,2024-01-03,2024-06-20,109,440657,22839,758477,4539,False,True,False,False
222, 이세계 영주가 밥을 잘 먹임,판타지,이디즈,2023-05-10,2024-05-10,333,3358007,121763,1822787,13109,True,False,False,False
223, 축구천재로 오해받는 중입니다,현대판타지,한명현,2023-05-10,2024-06-06,298,3841941,115532,1821039,16534,False,True,False,False
224, 내 헌터물에 아포칼립스는 필요없다,현대판타지,카르카손,2024-02-02,2024-06-20,119,533684,24410,823192,4263,False,True,False,False
225, 나 혼자 탑에서 농사,현대판타지,sdcknight,2022-05-11,2024-06-20,735,6535065,272484,3964029,21690,False,True,False,False
226, 퇴역한 연금술사는 우주권력급,현대판타지,뺘삐,2024-04-25,2024-06-19,61,1145448,24625,357909,6772,False,True,False,False
227, 전지적 독자 시점,현대판타지,싱숑,2018-01-06,2024-06-19,764,58230570,2237234,4778045,147592,False,True,False,False
228, 서부로 간 검은머리 용병,판타지,노오력.,2021-07-26,2024-01-23,592,2504591,121663,3808458,8879,True,False,False,False
229, 지옥에서 돌아온 게임 디렉터,현대판타지,papapa.,2023-05-10,2024-03-07,243,5199231,226179,1443776,28181,False,True,False,False
230, 퓨전펑크의 전생자,판타지,쫄면에삼겹,2023-01-10,2024-06-19,309,5592452,214453,2332925,24840,True,False,False,False
231, 재벌 3세 천재 배우가 되었다,현대판타지,피제이,2021-05-12,2022-09-10,283,4198538,141777,1581733,14107,False,True,False,False
232, 열혈 인생,현대판타지,동쪽사람,2023-03-09,2024-04-10,319,1574569,52114,1789933,5347,False,True,False,False
233, 홍등가의 소드마스터,판타지,망신창이,2021-12-20,2023-08-30,451,7797105,308138,2528131,30300,True,False,False,False
234, 아포칼립스의 유일한 흑마법사가 되었다,현대판타지,BELF,2022-09-15,2023-08-27,239,2968983,81679,1325358,13777,False,True,False,False
235, 귀농했는데 세계수로 미국식 농사,현대판타지,노마(駑馬),2023-09-26,2024-06-19,253,1648261,59381,1522956,8091,False,True,False,False
236, 미국 깡촌의 천재 작가,현대판타지,돌리앗,2023-02-25,2024-06-20,411,4649676,182720,2488762,20563,False,True,False,False
237, 짜장 한 그릇에 제갈세가 데릴사위,무협,에르훗,2022-07-13,2024-06-20,685,5746891,205290,4169078,22947,False,False,True,False
238, 고스트 해킹왕,현대판타지,[도원경],2023-09-11,2024-06-01,301,1540760,37722,1702947,6232,False,True,False,False
239, 천재 배우 복귀했습니다,현대판타지,나일함,2022-12-21,2023-09-19,223,2874787,87547,1194207,12293,False,True,False,False
240, 초대 콧수염 대마왕이 되었다,판타지,리첼렌,2024-02-08,2024-06-17,124,699710,44380,944971,5682,True,False,False,False
241, 축구천재들의 재능을 삼켰다,현대판타지,저니환,2024-02-20,2024-06-21,180,678249,13507,992908,3285,False,True,False,False
242, 빌런의 경제학,현대판타지,드림보트,2020-12-29,2021-09-09,247,12019546,270452,1632350,35509,False,True,False,False
243, 마력은 없지만 아카데미에서 꿀빱니다,현대판타지,악휘S,2021-10-09,2022-12-08,233,2740276,61725,1360708,13711,False,True,False,False
244, 임기 첫날에 게이트가 열렸다,현대판타지,피아조아,2019-01-16,2023-04-03,297,5368202,244363,2035735,23276,False,True,False,False
245, 혈귀무쌍,무협,강민성,2023-08-23,2024-06-20,307,2302572,58113,2250787,10294,False,False,True,False
246, 내 마법만 레벨업,판타지,해무극,2023-06-01,2024-06-19,283,2793906,85039,1760348,11610,True,False,False,False
247, 시한부 천재가 살아남는 법,무협,청시소,2020-09-28,2024-06-19,724,11249559,454531,4681768,31067,False,False,True,False
248, 로또부터 장군까지,현대판타지,게르만.,2022-09-06,2024-06-20,501,2289969,59899,2690412,7476,False,True,False,False
249, 전생이 대마법사다,현대판타지,동구이,2023-10-27,2024-06-06,160,2239793,55732,874209,11678,False,True,False,False
250, 검은머리 미군 대원수,판타지,명원(命元),2020-06-29,2023-05-16,583,28278850,895723,3460974,44490,True,False,False,False
251, 레벨업 하는 로그,판타지,글쟁이라떼,2024-01-27,2024-06-14,112,2019523,86665,701448,17584,True,False,False,False
252, 나는 이렇게 재벌이 되었다,현대판타지,푸달,2022-07-15,2024-05-08,589,8742631,275314,4083625,18176,False,True,False,False
253, 전생에 미켈란젤로였다,현대판타지,4분,2023-03-28,2024-06-06,431,3418074,124352,2913648,14867,False,True,False,False
254, 귀농했더니 국가급 거물 후배들이 몰려든다,현대판타지,아길론™,2023-11-18,2024-06-18,164,2186858,50979,897192,11635,False,True,False,False
255, 대뜸 착각당했다 괴물 천재배우로,현대판타지,장탄,2022-12-26,2024-03-20,481,11256305,355756,3236694,32763,False,True,False,False
256, 아카데미의 시간 정지 플레이어,현대판타지,애모르,2022-01-01,2022-11-23,206,2296671,49428,1179217,10739,False,True,False,False
257, 전생이 천재였다,현대판타지,나일함,2021-03-18,2022-06-30,320,7027802,227098,1780564,27655,False,True,False,False
258, 명문고 EX급 조연의 리플레이,현대판타지,기월월,2019-09-02,2024-06-19,1152,8061462,438669,6431796,18962,False,True,False,False
259, 전천후 연예생활백서,현대판타지,자경(蔗境),2020-11-26,2022-06-10,417,5939498,166406,3054068,13838,False,True,False,False
260, 돈과 재능이 쏟아져,현대판타지,더페이서,2022-02-24,2023-03-19,278,3929018,101344,1508664,13474,False,True,False,False
261, 사천당가로 회귀한 천재독마,무협,무향(武香),2023-05-10,2024-01-11,200,1298446,32464,1064262,5584,False,False,True,False
262, 짐꾼이었던 내가 마력이 무한?,현대판타지,1인5역,2023-03-26,2023-10-12,207,2669296,58209,1107992,10597,False,True,False,False
263, 방구석 음악 천재.,현대판타지,시하,2023-04-05,2024-03-14,246,4250792,135680,1597886,22068,False,True,False,False
264, 특성 쌓는 김전사,현대판타지,산호초,2023-05-10,2024-02-19,300,4920549,183803,1974012,23626,False,True,False,False
265, 불행을 보는 재벌집 손자,현대판타지,유재무,2023-07-05,2024-03-27,316,2515538,50530,2067338,7799,False,True,False,False
266," 치명적인 남자, 어게인 라이프!",현대판타지,울프21,2022-05-11,2023-01-27,226,3605222,111791,1449195,17652,False,True,False,False
267, 미국 로또로 역대급 재벌!,판타지,강바기,2022-05-11,2023-05-16,250,2439533,59618,1357178,8640,True,False,False,False
268, 작곡천재의 멜로디,현대판타지,나일함,2020-01-11,2021-01-08,257,4938877,132766,1393695,16252,False,True,False,False
269, 무림 속 공무원으로 살아가는 법,무협,글쓰는기계,2023-02-06,2023-11-24,229,4909550,237484,1354139,22941,False,False,True,False
270, 이동 요새로 아포칼립스 살아남기,판타지,스타퍼,2023-08-10,2024-04-30,200,2133756,55706,1144730,10917,True,False,False,False
271, 스킬진화로 빌런 응징,현대판타지,라팜팜,2022-08-24,2023-03-09,203,2694270,59297,1100009,11394,False,True,False,False
272, 멸망한 세계의 전승자,판타지,판작,2022-11-01,2023-05-25,206,3164619,96517,1225016,15143,True,False,False,False
273, 괴력 난신(怪力 亂神),무협,한중월야,2021-05-12,2023-07-25,527,4332703,133029,3498594,15959,False,False,True,False
274, 조선에서 인간병기로 살아가는 법,판타지,담배맛젤리,2023-05-23,2024-04-24,215,1906270,66252,1463578,7756,True,False,False,False
275, 재벌가에 천재가 입양 되었다,현대판타지,꿈가득남,2022-07-27,2023-02-12,202,3326562,74259,1063668,14442,False,True,False,False
276, 중소기업 신입사원 이현준,현대판타지,혁이.,2020-09-01,2021-05-06,200,1943186,46273,1058751,5561,False,True,False,False
277, 천재 흑마법사,판타지,노란커피,2021-05-26,2024-03-29,786,9594573,448084,5168503,30483,True,False,False,False
278, 불꽃의 기사,판타지,도동파,2020-01-21,2021-05-13,428,2329620,113455,3386372,9633,True,False,False,False
279, 빙하기 아포칼립스의 회사원,현대판타지,희나리T,2023-07-22,2024-06-20,231,2242425,49755,1239994,9713,False,True,False,False
280, 신화 속 양치기 노예가 되었다.,판타지,간다왼쪽,2022-10-20,2024-02-16,521,2308322,169312,3683317,10006,True,False,False,False
281, 말단병사에서 군주까지,판타지,소울풍,2018-12-19,2020-01-23,322,6116220,242151,2094435,20375,True,False,False,False
282, 트립한국 1933 호주에서 시작하다,판타지,적운창,2023-06-27,2024-04-24,357,1666491,55012,2131711,5599,True,False,False,False
283, 환생했더니 단종의 보모나인,판타지,윤인수,2022-08-31,2024-05-17,433,2794836,144848,2504782,9388,True,False,False,False
284, 나의 조선에 유교는 필요없다,판타지,정동갑제,2024-03-13,2024-06-20,116,592205,16060,768706,2652,True,False,False,False
285, 탑 미발견 지역에서 꿀 빱니다,판타지,2차자아,2022-12-16,2023-08-28,260,2443902,59844,1791100,9951,True,False,False,False
286, 홈런에 미친놈,현대판타지,박경원,2023-09-01,2024-04-25,201,1511783,35625,1090666,5321,False,True,False,False
287, 검신환생,무협,정석연재,2019-11-18,2020-09-23,204,3502608,77910,1136980,11407,False,False,True,False
288, 카이저를 구했다,판타지,레니비,2022-11-01,2024-06-05,500,2197769,82221,3061265,6480,True,False,False,False
289, 미래에서 온 검은머리 감독님,현대판타지,임성실,2024-02-14,2024-06-20,103,297625,8491,560704,1802,False,True,False,False
290, 삼국지 : 동탁빙의 후 천하통일 대박,판타지,로노바,2024-03-04,2024-06-21,108,350837,8813,607395,1710,True,False,False,False
291, 공격력 10만배로 초월급 헌터,현대판타지,비루리,2024-05-08,2024-06-21,52,612077,11684,289642,3682,False,True,False,False
292, 회귀했는데 전생이 다빈치,현대판타지,김내곰,2024-03-24,2024-06-20,90,476818,10718,535251,2727,False,True,False,False
293," 40년 만에 제대했는데, 다시 이등병",판타지,반고르,2024-03-11,2024-06-20,104,878118,22228,639921,4242,True,False,False,False
294, 고종시대로 회귀한 특전사가 정치를 너무 잘함,판타지,철강산,2024-03-25,2024-06-20,66,201103,5318,344567,1317,True,False,False,False
295," 나, 이승만이 되었다!",판타지,와우리을리,2024-03-18,2024-06-21,100,160611,6397,707675,1121,True,False,False,False
296, 완전생물 병장님,현대판타지,마지막한자,2024-02-26,2024-06-20,116,648950,18032,630691,3221,False,True,False,False
297, 천재배우들이 사랑하는 스타작가,현대판타지,버드와칭,2024-03-19,2024-06-21,96,429207,8883,524845,2489,False,True,False,False
298, 백수 삼촌이 게임을 너무 잘 함,현대판타지,토리셀,2024-03-27,2024-06-20,92,387912,7457,536596,2270,False,True,False,False
299, 환생했더니 불에 미친 정령사가 되었다,판타지,진유(眞鍮),2024-03-31,2024-06-21,73,891660,23370,426943,6077,True,False,False,False
300, 초월급 스트라이커의 회귀,현대판타지,타인증,2024-04-30,2024-06-20,80,464556,8522,453106,2544,False,True,False,False
301, 천재 아이돌은 관심받고 싶다!,현대판타지,억만자,2024-04-15,2024-06-20,72,161062,4772,427873,1389,False,True,False,False
302, 사이버펑크의 고인물 마법사,현대판타지,휴헤,2024-03-14,2024-06-21,103,522205,16455,670623,3713,False,True,False,False
303, 재벌가 사생아의 인생 2회차,현대판타지,휴화산,2024-03-13,2024-06-20,91,741554,11954,511384,2528,False,True,False,False
304, 신령님이 보우하사 대한제국만세,판타지,Analog감성,2024-02-19,2024-06-20,91,157124,4410,509241,826,True,False,False,False
305, 6.25 후 부동산 재벌이 되었다,판타지,투자인,2024-03-18,2024-06-21,131,313669,6911,711182,1126,True,False,False,False
306, 톡 대화가 다 보임,현대판타지,연군,2024-04-11,2024-06-20,73,330283,5900,483815,1501,False,True,False,False
307," 방원아, 너의 자리는 없다.",판타지,소리아비,2024-03-26,2024-06-20,82,289607,6780,445094,1463,True,False,False,False
308, K-POP 중고 천재가 되었습니다,현대판타지,글리키,2024-03-18,2024-06-20,90,303664,5553,474000,1347,False,True,False,False
309, 신선배송으로 인생역전,현대판타지,해묘(亥猫),2024-03-25,2024-06-20,82,335895,9483,518728,1813,False,True,False,False
310, 약초밭 깡촌 명의,현대판타지,차강,2024-04-01,2024-06-21,87,340131,9108,502199,1765,False,True,False,False
311, 이혼 후 투자재벌,현대판타지,소모사,2024-04-22,2024-06-21,69,502466,7680,412373,2211,False,True,False,False
312, 요리 평론을 너무 잘함,현대판타지,비수(飛秀),2024-04-07,2024-06-21,82,313906,8088,460274,1771,False,True,False,False
313, 나 혼자 초월급 네크로맨서,현대판타지,앱솔,2024-03-07,2024-06-21,91,472023,8069,496465,2123,False,True,False,False
314, 망겜의 SSS급 헌터,판타지,글국,2024-03-14,2024-06-20,134,513502,8719,703906,2403,True,False,False,False
315, 석화된 성녀를 주웠다,판타지,하늘바다땅,2024-03-11,2024-06-20,103,377796,11896,537987,2390,True,False,False,False
316, S급 각성자가 E급으로 등록됨,현대판타지,수년필,2024-03-15,2024-06-20,75,276921,5709,467385,1114,False,True,False,False
317, 은퇴했더니 초월급 정령사가 되었다,현대판타지,배부른콩,2024-03-17,2024-06-21,104,294590,6712,548324,1600,False,True,False,False
318, 귀농 후 조물주의 건물주가 되었다,현대판타지,글고블린,2024-03-21,2024-06-20,93,212735,6313,539223,1282,False,True,False,False
319, 은퇴 헌터는 만병통치약을 재배한다,현대판타지,그랫지수,2024-03-15,2024-06-21,102,290463,8767,611370,1643,False,True,False,False
320, 천재 구단주의 EPL 생존기,현대판타지,펩클롭,2024-02-16,2024-06-20,99,218312,5820,562000,1004,False,True,False,False
321, K3에서 발롱도르까지,현대판타지,하기동,2024-03-06,2024-06-20,113,380976,6255,637204,857,False,True,False,False
322, 아포칼립스지만 잘 먹고 잘 삽니다,현대판타지,호오르혜,2024-03-17,2024-06-20,106,146032,4696,605436,1058,False,True,False,False
323, 나혼자 각성,현대판타지,귀농재벌,2024-03-01,2024-06-21,116,431028,7675,687105,1233,False,True,False,False
324, 사과로 왕이 되었습니다,현대판타지,소수림,2024-04-07,2024-06-21,75,207159,6613,388323,1256,False,True,False,False
325, 기계군단으로 아포칼립스 살아남기,판타지,김시영,2024-03-26,2024-06-20,84,408685,10568,476146,2821,True,False,False,False
326, 농로무한 (農路無限),무협,편광(片光),2024-01-30,2024-06-21,106,131686,2621,548663,460,False,False,True,False
327, 제작에 진심인 자본주의 네크로맨서,판타지,양준석,2022-02-04,2024-06-20,71,93352,2179,408175,1128,True,False,False,False
328, 역대급 축구 천재가 트로피를 싹쓸이함,현대판타지,파란후드,2024-02-27,2024-06-20,115,334313,5179,639182,870,False,True,False,False
329, 백상의 워렌버핏,현대판타지,남운™,2024-03-13,2024-06-21,105,150376,1957,527205,738,False,True,False,False
330," 무명배우, 천만배우로 거듭 나다!",판타지,팅커테일,2024-03-25,2024-06-21,85,76022,1593,449723,300,True,False,False,False
331, 환생한 히트맨은 천만배우,현대판타지,노란안경,2024-03-14,2024-06-20,107,189083,3563,601699,823,False,True,False,False
332, 십일조사천억 평의 땅 주인,현대판타지,재미핥기,2023-05-16,2024-06-20,118,322925,6783,633508,1141,False,True,False,False
333, 10라운더의 기적,현대판타지,극찬,2024-03-02,2024-06-21,87,318079,5824,442782,1062,False,True,False,False
334, 레벨업 하는 이세계 영주님.,판타지,후라이드11,2024-02-10,2024-06-21,123,309339,6745,671361,894,True,False,False,False
335, 죽음을 보는 킬러,현대판타지,이종길,2024-03-31,2024-06-20,72,111986,2453,387401,491,False,True,False,False
336,퓨전 삼국지 천하를 화평하게 하라!,판타지,김현빈,2024-05-29,2024-06-21,219,4241,4,1168395,42,True,False,False,False
337, 국선 헌터가 아포칼립스를 찢음,현대판타지,맨발의시인,2024-04-02,2024-06-21,90,106409,1723,505401,364,False,True,False,False
338, 재주는 빌런이 부리고 돈은 용사가 번다,현대판타지,자운엽,2024-03-10,2024-06-21,108,210084,2474,639171,322,False,True,False,False
339, 투잡 뛰는 실험실 마법사,판타지,태사자인,2024-01-09,2024-06-20,134,52894,943,694266,222,True,False,False,False
